file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\???\q648_????\Solution.java,å­.TrieNode,class,1,3,2,1,1,1,0,0,0,0.5,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,1,1,0,2,0,0,0,0,4,0,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\????\q61_????\ListNode.java,ListNode,class,1,3,2,1,1,1,0,0,0,0.5,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,1,0,2,0,0,0,0,5,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\????\q172_?????\f1\Solution.java,æ.Solution,class,0,0,0,0,3,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,2,1,0,0,0,5,4,1,3,2,0,0,0,8,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\??\q101_?????\f1\TreeNode.java,é€.TreeNode,class,1,3,2,1,1,1,0,0,0,0.6666667,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,1,0,3,0,0,0,0,6,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\????\q1143_???????\Solution.java,åŠ.Solution,class,1,1,0,1,4,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20,1,2,1,0,0,0,11,9,9,7,3,0,0,0,13,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\??\??????????\Main.java,å.Main,class,2,3,1,2,21,1,0,12,21,0.0,0.0,0.0,7,1,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,85,4,6,10,0,0,0,6,22,0,11,2,0,0,0,19,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\??\q21_????????\f1\ListNode.java,é€.ListNode,class,1,2,1,1,1,1,0,0,0,0.5,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,1,0,2,0,0,0,0,5,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\???\q23_??K?????\ListNode.java,åˆ.ListNode,class,1,3,2,1,1,1,0,0,0,0.5,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,1,0,2,0,0,0,0,5,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\???\q23_??K?????\Solution.java,åˆ.Solution,class,2,3,1,2,10,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,44,7,3,6,0,0,0,5,14,0,6,3,0,0,0,21,0,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\??\q101_?????\f1\Solution.java,é€.Solution,class,2,3,1,2,13,1,0,6,3,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,57,5,3,6,0,0,0,12,19,1,12,3,0,0,0,25,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\??\????????\Main.java,Producer,innerclass,2,3,1,2,5,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,2,1,2,0,1,3,1,1,1,3,0,0,0,11,0,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\????\q160_????\ListNode.java,é.ListNode,class,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\??\??????????\TreeNode.java,å.TreeNode,class,1,3,2,1,1,1,0,0,0,0.6666667,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,1,0,3,0,0,0,0,6,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\??\????????\Main.java,Main,class,2,17,1,16,9,1,0,7,0,0.0,-1.0,-1.0,1,1,0,1,0,0,0,0,0,0,3,3,0,3,0,0,3,0,0,37,0,0,4,0,0,2,18,13,11,14,3,0,0,0,20,1,0
